EXECUCAO_ID;RELATORIO;INDICE_ORIGINAL;LIDER;PRIORIDADE;PAGINA;LINHA_TR;ETAPA;INICIO;FIM;TEMPO_SEGUNDOS;STATUS;DETALHE;ERRO
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;BROWSER_LAUNCH;2026-06-29 11:45:27;2026-06-29 11:45:27;0,589;OK;BrowserType.launch | OTIMIZADO: slow_mo reduzido de 300ms para 0ms;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_GOTO;2026-06-29 11:45:28;2026-06-29 11:45:31;3,338;OK;Page.goto(url_oculta);
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:31;2026-06-29 11:45:33;2,004;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:33;2026-06-29 11:45:33;0,043;OK;Locator.wait_for;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_FILL;2026-06-29 11:45:33;2026-06-29 11:45:33;0,022;OK;Locator.fill(valor_oculto);
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:33;2026-06-29 11:45:34;0,809;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:34;2026-06-29 11:45:35;0,813;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:35;2026-06-29 11:45:35;0,01;OK;Locator.wait_for;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_FILL;2026-06-29 11:45:35;2026-06-29 11:45:35;0,014;OK;Locator.fill(valor_oculto);
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:35;2026-06-29 11:45:36;1,01;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:36;2026-06-29 11:45:36;0,008;OK;Locator.wait_for;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_CLICK;2026-06-29 11:45:36;2026-06-29 11:45:36;0,043;OK;Locator.click;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:36;2026-06-29 11:45:41;5,002;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 11:45:41;2026-06-29 11:45:41;0,307;OK;Page.wait_for_load_state;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_LOAD_STATE;2026-06-29 11:45:41;2026-06-29 11:45:44;2,596;OK;Page.wait_for_load_state;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:44;2026-06-29 11:45:44;0,017;OK;Locator.wait_for;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:44;2026-06-29 11:45:44;0,004;OK;Locator.wait_for;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:44;2026-06-29 11:45:44;0,005;OK;Locator.wait_for;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:44;2026-06-29 11:45:44;0,007;OK;Locator.wait_for | OTIMIZADO: overlay APEX: timeout reduzido de 8000ms para 1000ms;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:44;2026-06-29 11:45:47;3,007;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:47;2026-06-29 11:45:47;0,012;OK;Locator.wait_for;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:47;2026-06-29 11:45:48;1,511;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_CLICK;2026-06-29 11:45:48;2026-06-29 11:45:48;0,047;OK;Locator.click;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;PAGE_WAIT_TIMEOUT;2026-06-29 11:45:48;2026-06-29 11:45:51;3,012;OK;Page.wait_for_timeout;
20260629_114526;RELATORIO_11_Camila_P3;11;Camila;P3;;9;LOCATOR_WAIT_FOR;2026-06-29 11:45:51;2026-06-29 11:45:51;0,008;OK;Locator.wait_for;
